,,Unpolarized Performance of 490 nm Longpass Dichroic Mirror,,,,,,,
,,515,95.99777603,3.351456652,,,,,
,,516,96.14448166,3.240733879,,,,,
,,517,96.29726791,3.091570247,,,,,
,,518,96.4634552,2.95370091,,,,,
,,519,96.59202576,2.797652806,,,,,
,,520,96.77949524,2.644134547,,,,,
,,521,96.87881851,2.488912071,,,,,
,,522,97.05130005,2.346075273,,,,,
,,523,97.17173386,2.230713856,,,,,
,,524,97.26159668,2.132380809,,,,,
,,525,97.33994675,2.045329568,,,,,
,,526,97.41780854,1.983984041,,,,,
,,527,97.44300461,1.989836499,,,,,
,,528,97.42205048,1.993112586,,,,,
,,529,97.34225846,2.061214108,,,,,
,,530,97.25974274,2.140599823,,,,,
,,531,97.14074707,2.304095576,,,,,
,,532,97.00748062,2.448818801,,,,,
,,533,96.83214569,2.596175297,,,,,
,,534,96.64805603,2.782205654,,,,,
,,535,96.49446869,2.967837521,,,,,
,,536,96.35216523,3.093956926,,,,,
,,537,96.25017548,3.214576913,,,,,
,,538,96.17783356,3.26937509,,,,,
,,539,96.15223313,3.285332875,,,,,
,,540,96.21054841,3.248920422,,,,,
,,541,96.31615448,3.17847341,,,,,
,,542,96.44374085,3.046241123,,,,,
,,543,96.58016205,2.893117119,,,,,
,,544,96.75201798,2.691816876,,,,,
,,545,96.9142189,2.529413725,,,,,
,,546,97.11766816,2.361861142,,,,,
,,547,97.26679993,2.202316615,,,,,
,,548,97.41570664,2.05356123,,,,,
,,549,97.50101853,1.927934856,,,,,
,,550,97.61013412,1.880679061,,,,,
,,551,97.6387291,1.792904121,,,,,
,,552,97.68044281,1.829671394,,,,,
,,553,97.70620728,1.777493733,,,,,
,,554,97.67269135,1.83901189,,,,,
,,555,97.6305809,1.862122786,,,,,
,,556,97.62475968,1.883588072,,,,,
,,557,97.55923462,1.906807414,,,,,
,,558,97.53705216,1.950543186,,,,,
,,559,97.50189209,2.003298833,,,,,
,,560,97.44350433,2.034512882,,,,,
,,561,97.41890717,2.094911613,,,,,
,,562,97.3791771,2.147903919,,,,,
,,563,97.28260422,2.231862744,,,,,
,,564,97.22762299,2.273093152,,,,,
,,565,97.1649971,2.347396721,,,,,
,,566,97.08982087,2.459501689,,,,,
,,567,96.99523926,2.537668455,,,,,
,,568,96.90230942,2.65546736,,,,,
,,569,96.81023407,2.7468671,,,,,
,,570,96.72616196,2.819720565,,,,,
,,571,96.6897049,2.897370171,,,,,
,,572,96.60277176,2.918912869,,,,,
,,573,96.62294388,2.929071219,,,,,
,,574,96.62422944,2.913947603,,,,,
,,575,96.66999436,2.905449687,,,,,
,,576,96.74377823,2.846171444,,,,,
,,577,96.80389023,2.722438997,,,,,
,,578,96.92399979,2.605463123,,,,,
,,579,97.05503464,2.542876245,,,,,
,,580,97.18075562,2.393966261,,,,,
,,581,97.26531982,2.251472103,,,,,
,,582,97.42824936,2.152706493,,,,,
,,583,97.54557801,2.048714084,,,,,
,,584,97.6486168,1.935889991,,,,,
,,585,97.70063401,1.867566195,,,,,
,,586,97.76930237,1.806141973,,,,,
,,587,97.81306076,1.769494767,,,,,
,,588,97.82830048,1.773941098,,,,,
,,589,97.79319763,1.768100798,,,,,
,,590,97.76897049,1.800180988,,,,,
,,591,97.73822022,1.846892638,,,,,
,,592,97.69026947,1.880372026,,,,,
,,593,97.62530899,1.944407212,,,,,
,,594,97.59116745,2.007187326,,,,,
,,595,97.53848267,2.056445567,,,,,
,,596,97.49739456,2.112408261,,,,,
,,597,97.45824433,2.147405098,,,,,
,,598,97.44060516,2.180700752,,,,,
,,599,97.40631485,2.208169588,,,,,
,,600,97.38976669,2.216751875,,,,,
,,601,97.37633896,2.221246767,,,,,
,,602,97.39596558,2.221376722,,,,,
,,603,97.38655472,2.232647475,,,,,
,,604,97.40912247,2.248830175,,,,,
,,605,97.4032135,2.236111648,,,,,
,,606,97.38536454,2.233681371,,,,,
,,607,97.35321808,2.265819157,,,,,
,,608,97.34287262,2.30738294,,,,,
,,609,97.33299637,2.316914788,,,,,
,,610,97.28302002,2.35056854,,,,,
,,611,97.24289322,2.391015207,,,,,
,,612,97.19154358,2.451180563,,,,,
,,613,97.14477921,2.536286905,,,,,
,,614,97.11406708,2.558079067,,,,,
,,615,97.05907822,2.626293512,,,,,
,,616,97.01631546,2.619191244,,,,,
,,617,96.9923172,2.689916134,,,,,
,,618,96.9657898,2.700925751,,,,,
,,619,96.93053055,2.747646413,,,,,
,,620,96.96910477,2.724633298,,,,,
,,621,96.98510361,2.714793557,,,,,
,,622,97.02314377,2.655251495,,,,,
,,623,97.05899811,2.656365603,,,,,
,,624,97.09014893,2.575622092,,,,,
,,625,97.20975113,2.485099508,,,,,
,,626,97.25395584,2.411797731,,,,,
,,627,97.36800004,2.345554287,,,,,
,,628,97.43972016,2.231357863,,,,,
,,629,97.5427208,2.162245139,,,,,
,,630,97.62917328,2.076720423,,,,,
,,631,97.72525788,2.016183938,,,,,
,,632,97.79774476,1.945461269,,,,,
,,633,97.85277558,1.883789057,,,,,
,,634,97.89403153,1.836194481,,,,,
,,635,97.96796036,1.786374712,,,,,
,,636,97.99119187,1.758855136,,,,,
,,637,98.0294075,1.736903469,,,,,
,,638,98.03113175,1.713880309,,,,,
,,639,98.01527786,1.701184038,,,,,
,,640,98.01288223,1.733450494,,,,,
,,641,98.00481033,1.743184345,,,,,
,,642,97.99864579,1.755404904,,,,,
,,643,97.97262192,1.782824976,,,,,
,,644,97.94553376,1.819701996,,,,,
,,645,97.94651413,1.814326832,,,,,
,,646,97.93042755,1.859258137,,,,,
,,647,97.93054962,1.871593459,,,,,
,,648,97.91573334,1.888390989,,,,,
,,649,97.9038353,1.879045642,,,,,
,,650,97.9022789,1.884642446,,,,,
,,651,97.89943314,1.887076643,,,,,
,,652,97.8913765,1.895208326,,,,,
,,653,97.92398834,1.895401473,,,,,
,,654,97.91300965,1.857753942,,,,,
,,655,97.93132019,1.867791372,,,,,
,,656,97.88776398,1.88630007,,,,,
,,657,97.93093872,1.862924619,,,,,
,,658,97.91490555,1.900188175,,,,,
,,659,97.93680192,1.904035629,,,,,
,,660,97.90288544,1.93324807,,,,,
,,661,97.86946106,1.958346082,,,,,
,,662,97.83678818,1.958361595,,,,,
,,663,97.79635239,2.013514239,,,,,
,,664,97.77166748,2.081006789,,,,,
,,665,97.70358658,2.118116652,,,,,
,,666,97.66662216,2.169869916,,,,,
,,667,97.64097977,2.214969276,,,,,
,,668,97.56956864,2.275473721,,,,,
,,669,97.53446961,2.302887338,,,,,
,,670,97.49824524,2.357671313,,,,,
,,671,97.44758988,2.406944775,,,,,
,,672,97.41321183,2.436333414,,,,,
,,673,97.353405,2.455827207,,,,,
,,674,97.36254502,2.498083359,,,,,
,,675,97.3561821,2.528909072,,,,,
,,676,97.34897232,2.50691828,,,,,
,,677,97.32851791,2.537924809,,,,,
,,678,97.32073975,2.525391216,,,,,
,,679,97.41830826,2.494258261,,,,,
,,680,97.41109085,2.448856126,,,,,
,,681,97.42649842,2.430325653,,,,,
,,682,97.50047684,2.425044403,,,,,
,,683,97.54315949,2.334204251,,,,,
,,684,97.5807724,2.313669273,,,,,
,,685,97.63277054,2.266090374,,,,,
,,686,97.67392349,2.202222068,,,,,
,,687,97.72462464,2.162216533,,,,,
,,688,97.78555298,2.123761311,,,,,
,,689,97.81069565,2.049649317,,,,,
,,690,97.82424546,2.053707481,,,,,
,,691,97.85025406,2.020258539,,,,,
,,692,97.90697861,2.001704119,,,,,
,,693,97.90875245,1.957101632,,,,,
,,694,97.93787003,1.973293388,,,,,
,,695,97.91862107,1.996479992,,,,,
,,696,97.90491105,1.973954338,,,,,
,,697,97.92146683,2.006243632,,,,,
,,698,97.8924675,2.047842467,,,,,
,,699,97.86042404,2.021504465,,,,,
,,700,97.84800339,2.098345623,,,,,
,,701,97.84136582,2.095431665,,,,,
,,702,97.8215065,2.109388639,,,,,
,,703,97.76312637,2.145854699,,,,,
,,704,97.8048172,2.128135338,,,,,
,,705,97.80846405,2.142797026,,,,,
,,706,97.76478958,2.142474965,,,,,
,,707,97.76864243,2.195562101,,,,,
,,708,97.7902832,2.153994397,,,,,
,,709,97.78393173,2.129319461,,,,,
,,710,97.82431793,2.11010657,,,,,
,,711,97.84176254,2.080922245,,,,,
,,712,97.8687706,2.042787374,,,,,
,,713,97.93083191,1.998533323,,,,,
,,714,97.95282364,1.977403174,,,,,
,,715,98.02069474,1.925823604,,,,,
,,716,98.05081558,1.89501976,,,,,
,,717,98.11303711,1.831673275,,,,,
,,718,98.1609726,1.788769936,,,,,
,,719,98.16276169,1.71483498,,,,,
,,720,98.32689667,1.705451735,,,,,
,,721,98.30921555,1.623493583,,,,,
,,722,98.35853958,1.61243937,,,,,
,,723,98.4148674,1.557680251,,,,,
,,724,98.43319321,1.562294444,,,,,
,,725,98.4764328,1.552209111,,,,,
,,726,98.48186875,1.524885864,,,,,
,,727,98.46712494,1.54848014,,,,,
,,728,98.47599793,1.505084116,,,,,
,,729,98.48250961,1.492150034,,,,,
,,730,98.45712281,1.516601638,,,,,
,,731,98.45808793,1.537095533,,,,,
,,732,98.4150734,1.570503759,,,,,
,,733,98.4233017,1.606578316,,,,,
,,734,98.3786583,1.647291977,,,,,
,,735,98.30254364,1.661164888,,,,,
,,736,98.33821869,1.697579423,,,,,
,,737,98.2478714,1.749596084,,,,,
,,738,98.21049881,1.784496227,,,,,
,,739,98.12535477,1.86624034,,,,,
,,740,98.10582733,1.888726995,,,,,
,,741,98.10512162,1.920019059,,,,,
,,742,98.06189347,1.957098105,,,,,
,,743,98.01156617,1.993812699,,,,,
,,744,98.0146904,2.073502681,,,,,
,,745,97.92535782,2.087829897,,,,,
,,746,97.94458771,2.078939163,,,,,
,,747,97.89247131,2.138262354,,,,,
,,748,97.91910553,2.158905871,,,,,
,,749,97.89426804,2.17694842,,,,,
,,750,97.86641312,2.147513444,,,,,
,,751,97.87184525,2.152874499,,,,,
,,752,97.84867096,2.210797093,,,,,
,,753,97.87482453,2.216770136,,,,,
,,754,97.84647751,2.224291749,,,,,
,,755,97.88526917,2.21903809,,,,,
,,756,97.84893418,2.208163947,,,,,
,,757,97.87405777,2.206479819,,,,,
,,758,97.8752594,2.17288447,,,,,
,,759,97.87319565,2.186615164,,,,,
,,760,97.88555146,2.185325486,,,,,
,,761,97.89499283,2.175606535,,,,,
,,762,97.87198257,2.179557512,,,,,
,,763,97.89703751,2.185492907,,,,,
,,764,97.91508484,2.138503034,,,,,
,,765,97.92407227,2.193234718,,,,,
,,766,97.91401673,2.152655447,,,,,
,,767,97.90872574,2.149053177,,,,,
,,768,97.91746903,2.190488369,,,,,
,,769,97.90929032,2.163939166,,,,,
,,770,97.91193008,2.179252205,,,,,
,,771,97.92486954,2.165066324,,,,,
,,772,97.92751313,2.152293719,,,,,
,,773,97.90559769,2.15097678,,,,,
,,774,97.9025879,2.14989086,,,,,
,,775,97.92150879,2.171324055,,,,,
,,776,97.94038391,2.19145133,,,,,
,,777,97.92910767,2.191745187,,,,,
,,778,97.9140892,2.183831506,,,,,
,,779,97.91188431,2.194173149,,,,,
,,780,97.88189316,2.217503984,,,,,
,,781,97.88530731,2.221274377,,,,,
,,782,97.87718201,2.231650959,,,,,
,,783,97.88049317,2.248875429,,,,,
,,784,97.82990647,2.278858868,,,,,
,,785,97.85310745,2.277520989,,,,,
,,786,97.80899048,2.318097961,,,,,
,,787,97.76552582,2.319212628,,,,,
,,788,97.76209641,2.408298725,,,,,
,,789,97.74296951,2.395927092,,,,,
,,790,97.68554306,2.38637753,,,,,
,,791,97.69338608,2.45943034,,,,,
,,792,97.63085175,2.492457972,,,,,
,,793,97.60342789,2.491001748,,,,,
,,794,97.58947754,2.530931988,,,,,
,,795,97.57057953,2.537275877,,,,,
,,796,97.55300522,2.571052321,,,,,
,,797,97.51067734,2.583530786,,,,,
,,798,97.53705216,2.618895033,,,,,
,,799,97.52686691,2.620274095,,,,,
,,800,97.54730988,2.611205402,,,,,
,,801,97.53011322,2.571768821,,,,,
,,802,97.56367111,2.591547509,,,,,
,,803,97.57205582,2.560410283,,,,,
,,804,97.60295487,2.531609278,,,,,
,,805,97.64698029,2.520158192,,,,,
,,806,97.6744194,2.450449431,,,,,
,,807,97.71496201,2.399044791,,,,,
,,808,97.77210999,2.403926476,,,,,
,,809,97.81964875,2.307568745,,,,,
,,810,97.84572983,2.281417633,,,,,
,,811,97.89432526,2.221788206,,,,,
,,812,97.96413422,2.177419852,,,,,
,,813,97.98382187,2.137497832,,,,,
,,814,98.03818894,2.085434177,,,,,
,,815,98.07820892,2.076083194,,,,,
,,816,98.06106186,2.075612708,,,,,
,,817,98.07141876,2.066530896,,,,,
,,818,98.05114365,2.094145739,,,,,
,,819,98.04361725,2.129516799,,,,,
,,820,97.96870423,2.166916845,,,,,
,,821,97.89708329,2.272264927,,,,,
,,822,97.78102875,2.366834767,,,,,
,,823,97.64444733,2.504364114,,,,,
,,824,97.50767136,2.660601795,,,,,
,,825,97.34908295,2.825949219,,,,,
,,826,97.1242714,3.017970509,,,,,
,,827,96.92848587,3.238317296,,,,,
,,828,96.65819168,3.492222347,,,,,
,,829,96.40460587,3.777896894,,,,,
,,830,96.11462021,4.048762801,,,,,
,,831,95.79891205,4.370630301,,,,,
,,832,95.4886055,4.680518183,,,,,
,,833,95.14578629,5.017915278,,,,,
,,834,94.81422424,5.334927506,,,,,
,,835,94.47736741,5.661332088,,,,,
,,836,94.17602539,6.017617671,,,,,
,,837,93.87216568,6.316036451,,,,,
,,838,93.52902603,6.631018457,,,,,
,,839,93.24678421,6.927991153,,,,,
,,840,92.96046448,7.199144732,,,,,
,,841,92.70648194,7.460499126,,,,,
,,842,92.4775734,7.678486227,,,,,
,,843,92.28611374,7.888654329,,,,,
,,844,92.12306977,8.033327212,,,,,
,,845,91.98164368,8.179415684,,,,,
,,846,91.90370942,8.283331311,,,,,
,,847,91.83757782,8.341963982,,,,,
,,848,91.79718781,8.395604536,,,,,
,,849,91.78447724,8.366481946,,,,,
,,850,91.80741501,8.360713743,,,,,
,,851,91.86660004,8.325130726,,,,,
,,852,91.91121674,8.262336041,,,,,
,,853,91.98772049,8.178544964,,,,,
,,854,92.0753212,8.097728114,,,,,
,,855,92.15581894,8.03103476,,,,,
,,856,92.198246,7.977589754,,,,,
,,857,92.19207764,7.962365771,,,,,
,,858,92.1790123,7.985023011,,,,,
,,859,92.11327362,8.066124781,,,,,
,,860,91.95378113,8.209482031,,,,,
,,861,91.72370529,8.452094252,,,,,
,,862,91.40126038,8.760995248,,,,,
,,863,90.9524498,9.22416397,,,,,
,,864,90.39357758,9.796957697,,,,,
,,865,89.69920349,10.47272026,,,,,
,,866,88.83028794,11.34277498,,,,,
,,867,87.82173538,12.3686609,,,,,
,,868,86.70810318,13.49379775,,,,,
,,869,85.42603302,14.79318391,,,,,
,,870,83.97698212,16.25715563,,,,,
,,871,82.38473892,17.82511272,,,,,
,,872,80.66623688,19.55337352,,,,,
,,873,78.76360703,21.46168292,,,,,
,,874,76.82334519,23.41052704,,,,,
,,875,74.81676484,25.41642644,,,,,
,,876,72.65552903,27.60035858,,,,,
,,877,70.49038696,29.76039975,,,,,
,,878,68.28094101,31.97916621,,,,,
,,879,66.01194001,34.25325513,,,,,
,,880,63.72094345,36.53142529,,,,,
,,881,61.5719204,38.70044629,,,,,
,,882,59.3647995,40.88877243,,,,,
,,883,57.15507699,43.09287141,,,,,
,,884,55.13561058,45.13070779,,,,,
,,885,53.05156327,47.22470964,,,,,
,,886,51.07330323,49.1911468,,,,,
,,887,49.24356842,51.03371566,,,,,
,,888,47.45003319,52.8327604,,,,,
,,889,45.73105431,54.54474036,,,,,
,,890,44.13012123,56.14671332,,,,,
,,891,42.60888672,57.67649213,,,,,
,,892,41.14323235,59.1436635,,,,,
,,893,39.81119824,60.47283475,,,,,
,,894,38.58369255,61.70639256,,,,,
,,895,37.40016842,62.89777037,,,,,
,,896,36.31619072,63.96685337,,,,,
,,897,35.31569004,64.96660683,,,,,
,,898,34.38537026,65.90762984,,,,,
,,899,33.52032185,66.77229123,,,,,
,,900,32.76101208,67.53430418,,,,,
