,,A Comparisons of Thorlabs' Thin Film Aluminum Mirror Coatings,,,
,,UV-Enhanced Aluminum (-F01),,Protected Aluminum (-G01),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,4.50859,95.73372,4.52861,95.20708
,,4.5186,95.71465,4.53861,95.20894
,,4.52861,95.69562,4.5486,95.46591
,,4.53861,95.67664,4.55859,95.46794
,,4.5486,95.65771,4.56856,95.46975
,,4.55859,95.63883,4.57852,95.47133
,,4.56856,95.62,4.58847,95.47269
,,4.57852,95.60122,4.59866,95.47385
,,4.58847,95.58251,4.60859,95.47476
,,4.59866,95.56339,4.61852,95.47546
,,4.60859,95.54479,4.62843,95.47594
,,4.61852,95.52625,4.63858,95.4762
,,4.62843,95.50778,4.64848,95.47625
,,4.63858,95.48892,4.65861,95.47608
,,4.64848,95.47058,4.66848,95.4757
,,4.65861,95.45186,4.67859,95.47509
,,4.66848,95.43366,4.68845,95.4743
,,4.67859,95.41508,4.69854,95.47327
,,4.68845,95.39703,4.70861,95.47203
,,4.69854,95.37861,4.71844,95.47063
,,4.70861,95.36027,4.7285,95.46898
,,4.71844,95.34245,4.73855,95.46713
,,4.7285,95.32427,4.74858,95.46508
,,4.73855,95.30618,4.75837,95.4629
,,4.74858,95.28818,4.76839,95.46046
,,4.75837,95.27068,4.7784,95.45783
,,4.76839,95.25285,4.78839,95.45502
,,4.7784,95.23511,4.79838,95.45202
,,4.78839,95.21746,4.80836,95.44883
,,4.79838,95.19991,4.81832,95.44547
,,4.80836,95.18245,4.82852,95.44185
,,4.81832,95.16508,4.83846,95.43813
,,4.82852,95.14741,4.84839,95.43425
,,4.83846,95.13024,4.85832,95.4302
,,4.84839,95.11317,4.86847,95.42588
,,4.85832,95.09621,4.87837,95.42151
,,4.86847,95.07894,4.8885,95.41687
,,4.87837,95.06218,4.89838,95.41219
,,4.8885,95.04513,4.90849,95.40724
,,4.89838,95.02859,4.91835,95.40226
,,4.90849,95.01176,4.92843,95.39701
,,4.91835,94.99543,4.93827,95.39175
,,4.92843,94.97882,4.94833,95.38623
,,4.93827,94.96271,4.95838,95.38057
,,4.94833,94.94633,4.96842,95.37479
,,4.95838,94.93007,4.97845,95.36887
,,4.96842,94.91393,4.98824,95.36298
,,4.97845,94.8979,4.99824,95.35683
,,4.98824,94.88237,5.00853,95.35038
,,4.99824,94.86658,5.01835,95.34411
,,5.00853,94.85046,5.02817,95.33774
,,5.01835,94.83517,5.03799,95.33126
,,5.02817,94.81999,5.04856,95.32417
,,5.03799,94.80492,5.05837,95.31749
,,5.04856,94.78881,5.06819,95.31071
,,5.05837,94.77395,5.078,95.30386
,,5.06819,94.75921,5.08856,95.29638
,,5.078,94.74457,5.09838,95.28935
,,5.08856,94.72894,5.10818,95.28225
,,5.09838,94.71453,5.11799,95.27508
,,5.10818,94.70024,5.12855,95.26728
,,5.11799,94.68606,5.13836,95.25998
,,5.12855,94.67092,5.14817,95.25263
,,5.13836,94.65698,5.15797,95.24522
,,5.14817,94.64315,5.16853,95.23719
,,5.15797,94.62944,5.17833,95.22969
,,5.16853,94.61481,5.18813,95.22215
,,5.17833,94.60135,5.19793,95.21457
,,5.18813,94.588,5.20848,95.20639
,,5.19793,94.57478,5.21828,95.19876
,,5.20848,94.56068,5.22808,95.19111
,,5.21828,94.54771,5.23787,95.18345
,,5.22808,94.53486,5.24842,95.17519
,,5.23787,94.52213,5.25821,95.16752
,,5.24842,94.50857,5.26801,95.15984
,,5.25821,94.4961,5.27855,95.15159
,,5.26801,94.48376,5.28834,95.14393
,,5.27855,94.47061,5.29813,95.13628
,,5.28834,94.45854,5.30792,95.12866
,,5.29813,94.44659,5.31845,95.12048
,,5.30792,94.43477,5.32824,95.11291
,,5.31845,94.42218,5.33802,95.10538
,,5.32824,94.41063,5.34781,95.09788
,,5.33802,94.39921,5.35834,95.08986
,,5.34781,94.38792,5.36812,95.08247
,,5.35834,94.37591,5.3779,95.07513
,,5.36812,94.36489,5.38843,95.06729
,,5.3779,94.35401,5.39821,95.06007
,,5.38843,94.34244,5.40799,95.05293
,,5.39821,94.33184,5.41776,95.04586
,,5.40799,94.32136,5.42829,95.03834
,,5.41776,94.31103,5.43806,95.03144
,,5.42829,94.30005,5.44783,95.02463
,,5.43806,94.29,5.45836,95.0174
,,5.44783,94.28008,5.46813,95.01079
,,5.45836,94.26955,5.47789,95.00428
,,5.46813,94.25992,5.48841,94.99739
,,5.47789,94.25043,5.49818,94.99112
,,5.48841,94.24036,5.50794,94.98496
,,5.49818,94.23115,5.51771,94.97893
,,5.50794,94.22208,5.52822,94.97257
,,5.51771,94.21315,5.53798,94.9668
,,5.52822,94.2037,5.54774,94.96118
,,5.53798,94.19506,5.55825,94.95527
,,5.54774,94.18656,5.56801,94.94995
,,5.55825,94.17757,5.57777,94.94477
,,5.56801,94.16937,5.58827,94.93937
,,5.57777,94.16131,5.59803,94.93452
,,5.58827,94.15278,5.60778,94.92983
,,5.59803,94.14502,5.61828,94.92498
,,5.60778,94.13739,5.62803,94.92065
,,5.61828,94.12934,5.63778,94.91649
,,5.62803,94.12202,5.64828,94.91223
,,5.63778,94.11483,5.65803,94.90846
,,5.64828,94.10726,5.66777,94.90488
,,5.65803,94.10037,5.67827,94.90124
,,5.66777,94.09363,5.68801,94.89807
,,5.67827,94.08653,5.69775,94.8951
,,5.68801,94.08009,5.70825,94.89213
,,5.69775,94.0738,5.71799,94.88959
,,5.70825,94.06718,5.72772,94.88727
,,5.71799,94.06118,5.73821,94.88501
,,5.72772,94.05533,5.74795,94.88314
,,5.73821,94.04919,5.75768,94.88149
,,5.74795,94.04364,5.76817,94.87998
,,5.75768,94.03824,5.7779,94.87881
,,5.76817,94.03259,5.78763,94.87788
,,5.7779,94.02748,5.79811,94.87714
,,5.78763,94.02253,5.80784,94.8767
,,5.79811,94.01736,5.81757,94.87651
,,5.80784,94.0127,5.82804,94.87658
,,5.81757,94.0082,5.83777,94.8769
,,5.82804,94.00351,5.84749,94.87748
,,5.83777,93.9993,5.85796,94.87838
,,5.84749,93.99525,5.86768,94.87949
,,5.85796,93.99104,5.87815,94.88097
,,5.86768,93.98729,5.88787,94.88261
,,5.87815,93.98341,5.89759,94.88453
,,5.88787,93.97996,5.90805,94.88688
,,5.89759,93.97665,5.91777,94.88935
,,5.90805,93.97326,5.92748,94.89208
,,5.91777,93.97026,5.93794,94.89533
,,5.92748,93.9674,5.94765,94.89863
,,5.93794,93.96449,5.95811,94.90249
,,5.94765,93.96193,5.96782,94.90636
,,5.95811,93.95935,5.97753,94.91051
,,5.96782,93.9571,5.98798,94.91528
,,5.97753,93.95499,5.99769,94.92001
,,5.98798,93.95289,6.00814,94.92541
,,5.99769,93.95108,6.01784,94.93071
,,6.00814,93.9493,6.02754,94.93629
,,6.01784,93.9478,6.03799,94.94262
,,6.02754,93.94644,6.04769,94.94879
,,6.03799,93.94514,6.05738,94.95523
,,6.04769,93.94408,6.06783,94.96249
,,6.05738,93.94317,6.07752,94.96951
,,6.06783,93.94234,6.08796,94.97739
,,6.07752,93.94173,6.09765,94.98499
,,6.08796,93.94123,6.10809,94.99349
,,6.09765,93.94091,6.11778,95.00167
,,6.10809,93.94073,6.12747,95.01012
,,6.11778,93.94071,6.1379,95.01953
,,6.12747,93.94083,6.14759,95.02855
,,6.1379,93.94112,6.15802,95.03857
,,6.14759,93.94154,6.1677,95.04814
,,6.15802,93.94215,6.17738,95.05799
,,6.1677,93.94286,6.18781,95.06888
,,6.17738,93.94371,6.19749,95.07926
,,6.18781,93.94479,6.20791,95.09074
,,6.19749,93.94594,6.21759,95.10165
,,6.20791,93.94733,6.22801,95.11369
,,6.21759,93.94876,6.23768,95.12513
,,6.22801,93.95047,6.24735,95.1368
,,6.23768,93.9522,6.25777,95.14965
,,6.24735,93.95406,6.26744,95.16182
,,6.25777,93.95623,6.27785,95.17519
,,6.26744,93.95838,6.28752,95.18784
,,6.27785,93.96086,6.29793,95.20171
,,6.28752,93.9633,6.30759,95.21481
,,6.29793,93.96608,6.31726,95.22813
,,6.30759,93.9688,6.32766,95.2427
,,6.31726,93.97167,6.33732,95.25644
,,6.32766,93.9749,6.34773,95.27145
,,6.33732,93.97805,6.35738,95.28558
,,6.34773,93.98158,6.36778,95.30101
,,6.35738,93.98501,6.37744,95.31551
,,6.36778,93.98885,6.38784,95.33132
,,6.37744,93.99255,6.39749,95.34616
,,6.38784,93.99669,6.40788,95.36231
,,6.39749,94.00067,6.41753,95.37746
,,6.40788,94.0051,6.42718,95.39275
,,6.41753,94.00936,6.43757,95.40936
,,6.42718,94.01375,6.44722,95.4249
,,6.43757,94.01862,6.4576,95.44176
,,6.44722,94.02328,6.46725,95.45752
,,6.4576,94.02844,6.47763,95.4746
,,6.46725,94.03337,6.48727,95.49054
,,6.47763,94.03883,6.49765,95.50779
,,6.48727,94.04403,6.50729,95.52386
