,,Unpolarized Performance of 950 nm Longpass Dichroic Mirror,,
,,409,0.473663047,99.17899004
,,410,0.469676565,99.14319706
,,411,0.44953821,99.15380845
,,412,0.397365894,99.22397852
,,413,0.373240449,99.2610959
,,414,0.289007876,99.34043556
,,415,0.189355463,99.41610761
,,416,0.131609161,99.47312986
,,417,0.10794542,99.56102809
,,418,0.024817605,99.54809398
,,419,0.050342165,99.58347384
,,420,0.064660225,99.59011317
,,421,0.053155778,99.59912273
,,422,0.052200153,99.60374721
,,423,0.054371219,99.58386179
,,424,0.096354924,99.50957505
,,425,0.087962865,99.52822645
,,426,0.159965606,99.48607994
,,427,0.194421297,99.4504789
,,428,0.221851336,99.38277079
,,429,0.266681358,99.391561
,,430,0.216664373,99.38451481
,,431,0.226578617,99.41919986
,,432,0.174345383,99.42224045
,,433,0.143267153,99.47046394
,,434,0.122464096,99.52180201
,,435,0.09611153,99.5430048
,,436,0.08396228,99.56767032
,,437,0.060436795,99.5750533
,,438,0.05584106,99.58280092
,,439,0.044791698,99.5875717
,,440,0.062702198,99.59461873
,,441,0.073758535,99.5696498
,,442,0.073831253,99.57469688
,,443,0.084582366,99.55292508
,,444,0.105047151,99.53074167
,,445,0.123878183,99.51474648
,,446,0.161538687,99.49378281
,,447,0.1359541,99.49034856
,,448,0.149904624,99.47607801
,,449,0.172781091,99.46573112
,,450,0.161433315,99.46563395
,,451,0.176952064,99.45643614
,,452,0.15912633,99.48321471
,,453,0.163393198,99.44567887
,,454,0.181573328,99.42703353
,,455,0.191976494,99.39515462
,,456,0.250596367,99.36509373
,,457,0.265191028,99.33934572
,,458,0.323380582,99.27104016
,,459,0.359906989,99.22398633
,,460,0.426235478,99.17172938
,,461,0.465810545,99.14344321
,,462,0.454171536,99.14221482
,,463,0.456072142,99.15540295
,,464,0.418899987,99.18917011
,,465,0.363330534,99.23478078
,,466,0.325221362,99.28479063
,,467,0.282342544,99.32585158
,,468,0.242361067,99.35824879
,,469,0.184509273,99.38490431
,,470,0.189391172,99.39041125
,,471,0.186847411,99.39822816
,,472,0.158599896,99.39273644
,,473,0.17417945,99.40994975
,,474,0.143161486,99.43160599
,,475,0.142734323,99.44958856
,,476,0.14349295,99.45849644
,,477,0.122995293,99.48092316
,,478,0.13704017,99.49121484
,,479,0.11037936,99.50238331
,,480,0.115266089,99.50514704
,,481,0.10697238,99.50623344
,,482,0.117646822,99.50369462
,,483,0.144087259,99.46630246
,,484,0.148125509,99.44959674
,,485,0.169218011,99.43835307
,,486,0.160929308,99.41827197
,,487,0.169915403,99.41449143
,,488,0.177335571,99.41810057
,,489,0.148437699,99.42559728
,,490,0.154873568,99.43872691
,,491,0.125240049,99.46987086
,,492,0.11719781,99.49056034
,,493,0.100441229,99.51819649
,,494,0.0755002,99.55058385
,,495,0.066660902,99.57584144
,,496,0.050332544,99.58327027
,,497,0.038323188,99.58239555
,,498,0.037044501,99.59581455
,,499,0.020642306,99.57650456
,,500,0.037078438,99.56531027
,,501,0.020514725,99.53999941
,,502,0.029497251,99.52272811
,,503,0.04537918,99.5008348
,,504,0.070978001,99.48295824
,,505,0.10303823,99.46131637
,,506,0.128906283,99.43521777
,,507,0.17760154,99.41470686
,,508,0.20160677,99.40976889
,,509,0.2083804,99.40628114
,,510,0.217731591,99.40965305
,,511,0.186984331,99.42773288
,,512,0.178818543,99.42678186
,,513,0.145308264,99.4640591
,,514,0.106803345,99.47176086
,,515,0.087639146,99.4965036
,,516,0.06650026,99.5142738
,,517,0.062063314,99.52711808
,,518,0.046240076,99.5472146
,,519,0.038305989,99.55105637
,,520,0.037509235,99.55883767
,,521,0.021231702,99.56862473
,,522,0.029378036,99.58100981
,,523,0.020284814,99.57748399
,,524,0.022016788,99.55990899
,,525,0.020904419,99.55384705
,,526,0.017049383,99.54390225
,,527,0.018284138,99.52132104
,,528,0.014180288,99.52629644
,,529,0.022379025,99.51719689
,,530,0.013178938,99.52628852
,,531,0.009919405,99.54046712
,,532,0.023007574,99.56093902
,,533,0.014599857,99.57903284
,,534,0.0157514,99.58940116
,,535,0.023952399,99.60085667
,,536,0.027007562,99.58657938
,,537,0.052314326,99.58146437
,,538,0.062167167,99.55401212
,,539,0.116389523,99.50135986
,,540,0.175812044,99.41506902
,,541,0.267218521,99.31380499
,,542,0.393883578,99.18917201
,,543,0.498516704,99.06298985
,,544,0.626693797,98.92608401
,,545,0.725208034,98.82174089
,,546,0.838090155,98.72111802
,,547,0.914545797,98.65293212
,,548,0.955676017,98.60980506
,,549,0.958423635,98.62216928
,,550,0.879509997,98.70038287
,,551,0.770619888,98.81654495
,,552,0.6340699,98.96941492
,,553,0.491362386,99.10798512
,,554,0.38633363,99.21546344
,,555,0.278270525,99.31440203
,,556,0.203657885,99.36805836
,,557,0.151331813,99.416262
,,558,0.105034596,99.43691455
,,559,0.090515978,99.4425511
,,560,0.059122202,99.43597995
,,561,0.059198915,99.44188247
,,562,0.054497277,99.4311285
,,563,0.043096025,99.43641672
,,564,0.044300999,99.4384726
,,565,0.027621555,99.45426887
,,566,0.032215884,99.47458836
,,567,0.023153974,99.49495476
,,568,0.021343334,99.50125638
,,569,0.020970302,99.5220319
,,570,0.019709177,99.5195217
,,571,0.015237434,99.52511039
,,572,0.015172682,99.53167406
,,573,0.025695545,99.54237582
,,574,0.017136228,99.52974259
,,575,0.016251828,99.53340084
,,576,0.022113317,99.52817514
,,577,0.020429797,99.50335293
,,578,0.022949753,99.49276598
,,579,0.017275787,99.47693879
,,580,0.025425119,99.45976869
,,581,0.023252616,99.45465578
,,582,0.024528349,99.44021521
,,583,0.030646086,99.42576557
,,584,0.030101057,99.42866694
,,585,0.035605691,99.42957437
,,586,0.031301416,99.43305992
,,587,0.033573012,99.42584266
,,588,0.041986946,99.44980714
,,589,0.04104426,99.44234637
,,590,0.050202886,99.43322091
,,591,0.050175577,99.44435391
,,592,0.062078108,99.43879278
,,593,0.077803892,99.42492073
,,594,0.080129004,99.43117113
,,595,0.089681487,99.42214683
,,596,0.104039731,99.40645461
,,597,0.122412617,99.38690926
,,598,0.14248449,99.37550619
,,599,0.160040596,99.33005839
,,600,0.205909601,99.28292343
,,601,0.256481508,99.21759137
,,602,0.325175758,99.13713093
,,603,0.395707029,99.06460043
,,604,0.453320065,98.99498456
,,605,0.508395531,98.95330097
,,606,0.533683319,98.9121465
,,607,0.552423185,98.89892004
,,608,0.555156395,98.90750971
,,609,0.539952959,98.91053621
,,610,0.525013522,98.93834727
,,611,0.471563764,98.97489505
,,612,0.421071097,99.0283318
,,613,0.371650357,99.08363015
,,614,0.31396737,99.12283558
,,615,0.277556584,99.17502511
,,616,0.244886944,99.20349074
,,617,0.23413339,99.21928874
,,618,0.222439593,99.23567829
,,619,0.222009195,99.24011396
,,620,0.227489984,99.23542002
,,621,0.226659872,99.25585261
,,622,0.235220504,99.2507957
,,623,0.233586942,99.26955216
,,624,0.228831071,99.26630538
,,625,0.228677207,99.27562915
,,626,0.222925535,99.28807899
,,627,0.224881466,99.2806518
,,628,0.211514554,99.27193365
,,629,0.215670209,99.26668547
,,630,0.226014591,99.23880362
,,631,0.246299042,99.20680825
,,632,0.286148706,99.16067897
,,633,0.332930484,99.11659024
,,634,0.378732222,99.07604886
,,635,0.418200361,99.05212613
,,636,0.424079081,99.02397078
,,637,0.436887348,99.0396433
,,638,0.421147388,99.05839554
,,639,0.409714421,99.08357824
,,640,0.381659767,99.11924204
,,641,0.342304713,99.15631589
,,642,0.301274444,99.20353316
,,643,0.244911758,99.26137391
,,644,0.211526064,99.30978321
,,645,0.160735588,99.35121532
,,646,0.140330266,99.37246636
,,647,0.135077135,99.39266309
,,648,0.125161809,99.37264589
,,649,0.146477943,99.36311695
,,650,0.16109015,99.34686392
,,651,0.189114844,99.31836576
,,652,0.221581346,99.25967402
,,653,0.263900794,99.22993298
,,654,0.309526272,99.18111145
,,655,0.349329691,99.14024925
,,656,0.379175495,99.09271716
,,657,0.399327641,99.08860069
,,658,0.402550984,99.06972818
,,659,0.414646221,99.0733183
,,660,0.398216268,99.08294738
,,661,0.385631229,99.10643373
,,662,0.367181981,99.13492785
,,663,0.329389193,99.16144679
,,664,0.299441547,99.20990386
,,665,0.26964143,99.24185252
,,666,0.244808633,99.28475301
,,667,0.218298998,99.3160304
,,668,0.180940402,99.34382624
,,669,0.16631067,99.37852432
,,670,0.142861021,99.39485039
,,671,0.133242445,99.42324481
,,672,0.137817891,99.42993509
,,673,0.134458507,99.42190325
,,674,0.156110687,99.41139836
,,675,0.177261533,99.3806275
,,676,0.21200202,99.34537723
,,677,0.256622762,99.28485004
,,678,0.312825059,99.22693379
,,679,0.400894627,99.13682718
,,680,0.490153179,99.04493776
,,681,0.58092236,98.92698022
,,682,0.684065187,98.84144044
,,683,0.78022175,98.74927383
,,684,0.864138893,98.66845471
,,685,0.934030758,98.59400048
,,686,0.989805993,98.53696207
,,687,1.03219793,98.50437626
,,688,1.058563438,98.48837211
,,689,1.034490414,98.499894
,,690,0.992277333,98.55881971
,,691,0.93034304,98.61385106
,,692,0.848722655,98.70119999
,,693,0.758812534,98.79328641
,,694,0.673491247,98.8751929
,,695,0.57885383,98.94639798
,,696,0.517350307,99.01238091
,,697,0.451669164,99.06478125
,,698,0.408558557,99.11886959
,,699,0.344433024,99.18864804
,,700,0.300796799,99.23202726
,,701,0.245015321,99.28982712
,,702,0.19238841,99.36295713
,,703,0.151222927,99.40461718
,,704,0.121406165,99.45512261
,,705,0.09629756,99.46219031
,,706,0.097736287,99.47552907
,,707,0.09466207,99.47594638
,,708,0.120713769,99.45475817
,,709,0.160366958,99.41758895
,,710,0.202513743,99.33895186
,,711,0.292780901,99.25213334
,,712,0.381013992,99.16307866
,,713,0.492688854,99.04181245
,,714,0.6027523,98.93853131
,,715,0.698619925,98.84022525
,,716,0.769369204,98.76932069
,,717,0.815506315,98.73687718
,,718,0.850502959,98.70706164
,,719,0.848989933,98.72877416
,,720,0.794658021,98.72391052
,,721,0.77341589,98.76340557
,,722,0.709280571,98.82248248
,,723,0.652807063,98.87195998
,,724,0.558999169,98.991948
,,725,0.443428792,99.09416354
,,726,0.345090033,99.18180216
,,727,0.265872128,99.27938213
,,728,0.196286641,99.34199312
,,729,0.123302672,99.38489369
,,730,0.104373385,99.41180721
,,731,0.089253988,99.41244149
,,732,0.064673317,99.46343407
,,733,0.068909575,99.46158477
,,734,0.043218292,99.45814785
,,735,0.0470954,99.46463968
,,736,0.039084649,99.47875074
,,737,0.029128821,99.48395308
,,738,0.039112945,99.47629233
,,739,0.01730259,99.5050012
,,740,0.040099342,99.50697892
,,741,0.03430794,99.4993991
,,742,0.039203873,99.4950647
,,743,0.059401453,99.46804561
,,744,0.057639282,99.46661603
,,745,0.099353112,99.45933935
,,746,0.113710405,99.38669149
,,747,0.145702726,99.38333186
,,748,0.178194087,99.36451069
,,749,0.17097458,99.36190692
,,750,0.190323906,99.3448196
,,751,0.184443838,99.3745748
,,752,0.174307147,99.36514218
,,753,0.176198978,99.3774766
,,754,0.145162962,99.40291647
,,755,0.151287822,99.42789344
,,756,0.125930629,99.42956246
,,757,0.111761911,99.44718393
,,758,0.089353984,99.46939289
,,759,0.067886544,99.470522
,,760,0.069819069,99.48949862
,,761,0.051493441,99.49882081
,,762,0.050063509,99.51488043
,,763,0.053678292,99.49433903
,,764,0.039980018,99.51734961
,,765,0.045456469,99.51216562
,,766,0.034461287,99.51376724
,,767,0.041354682,99.52405715
,,768,0.035608471,99.50809434
,,769,0.018851959,99.51913798
,,770,0.035536336,99.53488765
,,771,0.022840213,99.50469579
,,772,0.027037598,99.51975401
,,773,0.030524374,99.52209253
,,774,0.019984867,99.50513577
,,775,0.031754771,99.48966691
,,776,0.028850967,99.50262913
,,777,0.049423376,99.48283971
,,778,0.044095699,99.47632304
,,779,0.037446615,99.47203151
,,780,0.047676389,99.45428179
,,781,0.034632675,99.4706704
,,782,0.055074955,99.46383934
,,783,0.043449596,99.46725293
,,784,0.04097996,99.46617816
,,785,0.062088818,99.46223725
,,786,0.035894062,99.4766095
,,787,0.047965737,99.47191549
,,788,0.045323632,99.48708144
,,789,0.04857245,99.49761802
,,790,0.049380883,99.47768738
,,791,0.043450881,99.47822053
,,792,0.056829441,99.48886797
,,793,0.04591115,99.50094803
,,794,0.046467178,99.48356385
,,795,0.055425355,99.47358221
,,796,0.047188944,99.48919721
,,797,0.062831611,99.4756327
,,798,0.033201121,99.47951748
,,799,0.044980288,99.47280528
,,800,0.050807703,99.46986833
,,801,0.062388577,99.46599388
,,802,0.033715967,99.46311125
,,803,0.057657531,99.47510115
,,804,0.043257805,99.46901268
,,805,0.045171934,99.45256918
,,806,0.05330049,99.45877713
,,807,0.040228927,99.4769708
,,808,0.053881472,99.4847204
,,809,0.037748349,99.48007586
,,810,0.045359524,99.46889298
,,811,0.039900584,99.48431306
,,812,0.038324374,99.49529483
,,813,0.041483378,99.49250213
,,814,0.023781267,99.50334532
,,815,0.041274609,99.47774345
,,816,0.040170259,99.48316503
,,817,0.03053023,99.48239489
,,818,0.039061797,99.47564861
,,819,0.022808864,99.49386628
,,820,0.034522922,99.48574878
,,821,0.027627148,99.48804326
,,822,0.019600316,99.50082931
,,823,0.029196242,99.50251557
,,824,0.016975354,99.51583254
,,825,0.018437627,99.50480119
,,826,0.020342519,99.5193588
,,827,0.017571261,99.52283925
,,828,0.022304978,99.50127765
,,829,0.022407315,99.50954135
,,830,0.029470624,99.50680824
,,831,0.036655076,99.49566229
,,832,0.041681592,99.48662121
,,833,0.054420964,99.4722645
,,834,0.062192309,99.46531566
,,835,0.072944078,99.44493834
,,836,0.077207302,99.45223767
,,837,0.077683586,99.45875128
,,838,0.090225851,99.43586487
,,839,0.088664066,99.43109777
,,840,0.094700269,99.44594229
,,841,0.096346355,99.45831929
,,842,0.106098533,99.4392996
,,843,0.104900956,99.45191672
,,844,0.108140853,99.4380167
,,845,0.11981301,99.43454051
,,846,0.116989662,99.43813234
,,847,0.130848621,99.42071474
,,848,0.135024809,99.41791554
,,849,0.137877681,99.40107347
,,850,0.150621902,99.40000413
,,851,0.152478782,99.38749751
,,852,0.167219069,99.36842387
,,853,0.1614735,99.37386552
,,854,0.172134395,99.35838681
,,855,0.174634206,99.3508133
,,856,0.169237185,99.36609183
,,857,0.178933178,99.34530129
,,858,0.173389919,99.3445007
,,859,0.175648904,99.35433492
,,860,0.174309003,99.37435234
,,861,0.170489884,99.37128549
,,862,0.173208861,99.36318838
,,863,0.162012198,99.37130178
,,864,0.158084572,99.38322208
,,865,0.154010764,99.40176741
,,866,0.144511436,99.42140026
,,867,0.141014373,99.39770862
,,868,0.133629444,99.40579159
,,869,0.140828991,99.40194872
,,870,0.142148889,99.39708325
,,871,0.147475767,99.37951114
,,872,0.156619171,99.37850236
,,873,0.160488294,99.37808059
,,874,0.167171514,99.39275229
,,875,0.167243391,99.38712991
,,876,0.168348804,99.38230662
,,877,0.168901644,99.39571293
,,878,0.166570758,99.37396374
,,879,0.166772352,99.38683793
,,880,0.159618303,99.40855917
,,881,0.155076203,99.39811992
,,882,0.149466516,99.399242
,,883,0.139783944,99.41128855
,,884,0.131947857,99.42770041
,,885,0.117744538,99.44149972
,,886,0.105841447,99.454415
,,887,0.092995633,99.46366314
,,888,0.077879644,99.48062458
,,889,0.068425029,99.49529549
,,890,0.059739445,99.50703559
,,891,0.053620697,99.49516172
,,892,0.051123955,99.51510366
,,893,0.047380426,99.53127475
,,894,0.049937686,99.52299521
,,895,0.048831254,99.51754989
,,896,0.052376254,99.51767848
,,897,0.055291047,99.52965645
,,898,0.061330523,99.5241412
,,899,0.067822914,99.52106617
,,900,0.077783329,99.50436168
,,901,0.095661863,99.49019473
,,902,0.118311286,99.48170997
,,903,0.152016357,99.44273561
,,904,0.201399013,99.3900789
,,905,0.278398777,99.30668304
,,906,0.394838584,99.19253233
,,907,0.577253379,99.02275856
,,908,0.872960311,98.71687049
,,909,1.31748645,98.25602833
,,910,1.989474892,97.57908699
,,911,2.959051733,96.59528948
,,912,4.17061638,95.39419399
,,913,5.604215092,93.9469055
,,914,7.265439065,92.28422616
,,915,8.995218094,90.53193314
,,916,10.76002396,88.75931037
,,917,12.58767521,86.94364541
,,918,14.40274887,85.12898642
,,919,16.16800156,83.35561414
,,920,18.04782795,81.47966661
,,921,20.05109173,79.48824211
,,922,22.02808602,77.52473012
,,923,24.22059197,75.35069873
,,924,26.46814295,73.09621379
,,925,28.6557909,70.93613249
,,926,30.92107903,68.70313523
,,927,33.13379182,66.49918286
,,928,35.15483298,64.47566834
,,929,37.02664273,62.64426124
,,930,38.68265817,61.00687812
,,931,39.9870932,59.72657873
,,932,41.00523153,58.71858783
,,933,41.81779947,57.9226293
,,934,42.44859196,57.29450543
,,935,43.01565455,56.73546229
,,936,43.59206739,56.16976863
,,937,44.17727329,55.5863972
,,938,44.75344961,55.00644076
,,939,45.32326776,54.42858522
,,940,45.86563027,53.89525844
,,941,46.31180729,53.47844206
,,942,46.66059987,53.11153341
,,943,46.92816456,52.86058982
,,944,47.09509241,52.6785696
,,945,47.21378142,52.53996221
,,946,47.35118586,52.42845711
,,947,47.4889794,52.29453224
,,948,47.68696457,52.0878125
,,949,47.96780181,51.80426562
,,950,48.36303043,51.4320521
,,951,48.84833145,50.92937227
,,952,49.5045613,50.30489155
,,953,50.22714973,49.58202773
,,954,51.11632299,48.70101373
,,955,52.15381622,47.66948638
,,956,53.32257605,46.51324424
,,957,54.58054638,45.2635133
,,958,56.00037718,43.85947834
,,959,57.58968163,42.28157763
,,960,59.21713543,40.6628639
,,961,61.10052777,38.79129489
,,962,63.14149762,36.76032218
,,963,65.19942093,34.69077429
,,964,67.53274918,32.39034415
,,965,69.95938111,29.95779199
,,966,72.41634178,27.50666706
,,967,74.92119599,24.99745551
,,968,77.44640923,22.49204813
,,969,79.77330208,20.17591962
,,970,81.96866608,17.97881057
,,971,84.03904724,15.9007112
,,972,85.86240769,14.07011213
,,973,87.5562439,12.38026486
,,974,89.10095596,10.84732258
,,975,90.44858933,9.489539303
,,976,91.59397125,8.334702534
,,977,92.6239357,7.309333369
,,978,93.48294068,6.437549671
,,979,94.17322159,5.754311406
,,980,94.74603653,5.183689317
,,981,95.18072891,4.746074861
,,982,95.49755478,4.430731029
,,983,95.73984528,4.177791539
,,984,95.95487595,3.971968501
,,985,96.13335801,3.797429204
,,986,96.31008148,3.625252809
,,987,96.48913193,3.447904583
,,988,96.67385865,3.274245016
,,989,96.84891892,3.095778758
,,990,97.02080918,2.918699013
,,991,97.16722489,2.756299167
,,992,97.32794571,2.609800222
,,993,97.45690537,2.483498366
,,994,97.55363846,2.386467422
,,995,97.61642838,2.315313111
,,996,97.6716919,2.266174695
,,997,97.70272446,2.236287943
,,998,97.71694565,2.21973579
,,999,97.71545029,2.209545737
,,1000,97.73725891,2.199777118
,,1001,97.74407196,2.187014006
,,1002,97.77692414,2.164453484
,,1003,97.8171959,2.132594664
,,1004,97.85097885,2.091897576
,,1005,97.88312912,2.040721482
,,1006,97.9508934,1.983233303
,,1007,98.01543808,1.925146279
,,1008,98.07904435,1.866988956
,,1009,98.1291771,1.810683793
,,1010,98.17446137,1.763145183
,,1011,98.22115326,1.723043027
,,1012,98.2528038,1.691233282
,,1013,98.26225663,1.671058904
,,1014,98.2767334,1.661008839
,,1015,98.27641678,1.659862815
,,1016,98.27340317,1.665858122
,,1017,98.26946259,1.679095854
,,1018,98.25130463,1.697590165
,,1019,98.20508576,1.719561736
,,1020,98.19477844,1.742939298
,,1021,98.15943909,1.768493319
,,1022,98.14043045,1.795556052
,,1023,98.11222458,1.822180249
,,1024,98.07806396,1.850700678
,,1025,98.05446244,1.879338687
,,1026,98.02043534,1.906488834
,,1027,98.00997544,1.934227467
,,1028,97.96323395,1.962145044
,,1029,97.95033265,1.989225144
,,1030,97.9222641,2.014534855
,,1031,97.89577866,2.038612266
,,1032,97.88071823,2.058907655
,,1033,97.85836029,2.075740144
,,1034,97.84719086,2.088996904
,,1035,97.83507538,2.097385634
,,1036,97.83345795,2.101273186
,,1037,97.83317184,2.100969248
,,1038,97.84806442,2.095458558
,,1039,97.83824539,2.08640325
,,1040,97.85737228,2.07396981
,,1041,97.8775177,2.059849562
,,1042,97.89049912,2.044175962
,,1043,97.88089752,2.028151059
,,1044,97.90319443,2.011397119
,,1045,97.9328804,1.99668905
,,1046,97.95606995,1.983170738
,,1047,97.95149994,1.970315893
,,1048,97.95599747,1.959926236
,,1049,97.97772598,1.950358834
,,1050,97.79664994,1.942787797
,,1051,97.80108643,1.933006157
,,1052,97.82189942,1.926504887
,,1053,97.82699967,1.915868053
,,1054,97.83681107,1.902848172
,,1055,97.87265396,1.890502833
,,1056,97.86379242,1.876740425
,,1057,97.89091874,1.861426601
,,1058,97.9300499,1.846001161
,,1059,97.93180847,1.827951573
,,1060,97.94337082,1.808992614
,,1061,97.95641327,1.79493521
,,1062,97.9768982,1.780320587
,,1063,98.00576401,1.767114681
,,1064,98.00543976,1.757856575
,,1065,98.01789856,1.750046552
,,1066,98.01535034,1.749891434
,,1067,98.02424241,1.749357367
,,1068,98.01091385,1.756149232
,,1069,98.00139237,1.765409384
,,1070,97.98405838,1.778718121
,,1071,97.98031617,1.795972555
,,1072,97.96348954,1.816169757
,,1073,97.93922043,1.836402357
,,1074,97.90724183,1.858124331
,,1075,97.90522004,1.87876832
,,1076,97.85281754,1.898741921
,,1077,97.83388901,1.916943569
,,1078,97.82782364,1.933411139
,,1079,97.84113312,1.945723378
,,1080,97.80478668,1.954940457
,,1081,97.82534409,1.961571914
,,1082,97.80431748,1.964199569
,,1083,97.82334137,1.965208517
,,1084,97.80014801,1.959818761
,,1085,97.79785538,1.956297399
,,1086,97.82537079,1.95275602
,,1087,97.80262757,1.944541397
,,1088,97.82208252,1.93853893
,,1089,97.86354447,1.932443277
,,1090,97.8435936,1.926503496
,,1091,97.91542435,1.925394845
,,1092,97.89842224,1.920867614
,,1093,97.91941071,1.92039122
,,1094,97.8305893,1.920346551
,,1095,97.91766357,1.922414834
,,1096,97.86642456,1.924899517
,,1097,97.88734436,1.92439481
,,1098,97.88230515,1.923023609
,,1099,97.87071228,1.922980795
