,,A Comparisons of Thorlabs' Thin Film Silver Mirror Coatings,,,,,
,,Protected Silver (-P01),,Protected Silver (-P02),,Ultrafast-Enhanced Silver (-AG),
,,Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%),Wavelength (µm),Reflectance (%)
,,4.50859,97.21553,4.01503,98.72587,,
,,4.5186,97.21416,4.02275,98.72837,,
,,4.52861,97.21283,4.03047,98.71787,,
,,4.53861,97.21155,4.03819,98.71887,,
,,4.5486,97.2103,4.04591,98.73137,,
,,4.55859,97.20909,4.05364,98.73337,,
,,4.56856,97.20793,4.06136,98.73787,,
,,4.57852,97.2068,4.06908,98.74037,,
,,4.58847,97.20571,4.0768,98.75137,,
,,4.59866,97.20466,4.08452,98.75987,,
,,4.60859,97.20365,4.09224,98.76087,,
,,4.61852,97.20267,4.09996,98.75437,,
,,4.62843,97.20172,4.10768,98.75637,,
,,4.63858,97.20083,4.11541,98.74837,,
,,4.64848,97.19996,4.12313,98.74137,,
,,4.65861,97.19913,4.13085,98.74437,,
,,4.66848,97.19833,4.13857,98.74587,,
,,4.67859,97.19757,4.14629,98.74337,,
,,4.68845,97.19683,4.15401,98.74037,,
,,4.69854,97.19614,4.16173,98.74237,,
,,4.70861,97.19549,4.16945,98.74237,,
,,4.71844,97.19484,4.17718,98.73937,,
,,4.7285,97.19425,4.1849,98.76737,,
,,4.73855,97.19369,4.19262,98.87637,,
,,4.74858,97.19316,4.20034,99.14887,,
,,4.75837,97.19263,4.20806,99.55587,,
,,4.76839,97.19216,4.21578,99.51146,,
,,4.7784,97.19172,4.2235,99.39653,,
,,4.78839,97.19131,4.23122,99.18451,,
,,4.79838,97.19092,4.23895,99.30226,,
,,4.80836,97.19056,4.24667,99.34392,,
,,4.81832,97.19023,4.25439,99.26692,,
,,4.82852,97.18995,4.26211,99.41407,,
,,4.83846,97.18967,4.26983,99.4714,,
,,4.84839,97.18942,4.27755,99.08271,,
,,4.85832,97.18919,4.28527,99.2185,,
,,4.86847,97.18902,4.29299,99.42431,,
,,4.87837,97.18884,4.30071,99.43794,,
,,4.8885,97.18872,4.30844,99.49,,
,,4.89838,97.18859,4.31616,99.33331,,
,,4.90849,97.18851,4.32388,99.41537,,
,,4.91835,97.18842,4.3316,99.27487,,
,,4.92843,97.18839,4.33932,99.14837,,
,,4.93827,97.18835,4.34704,99.06787,,
,,4.94833,97.18836,4.35476,98.99137,,
,,4.95838,97.1884,4.36248,98.92837,,
,,4.96842,97.18845,4.37021,98.87087,,
,,4.97845,97.18852,4.37793,98.83187,,
,,4.98824,97.18859,4.38565,98.83637,,
,,4.99824,97.1887,4.39337,98.83837,,
,,5.00853,97.18888,4.40109,98.84537,,
,,5.01835,97.189,4.40881,98.84837,,
,,5.02817,97.18915,4.41653,98.84037,,
,,5.03799,97.18932,4.42425,98.82887,,
,,5.04856,97.18962,4.43198,98.81187,,
,,5.05837,97.18982,4.4397,98.79987,,
,,5.06819,97.19004,4.44742,98.79287,,
,,5.078,97.19028,4.45514,98.78987,,
,,5.08856,97.19066,4.46286,98.78937,,
,,5.09838,97.19094,4.47058,98.78787,,
,,5.10818,97.19123,4.4783,98.78687,,
,,5.11799,97.19153,4.48602,98.78837,,
,,5.12855,97.19198,4.49375,98.79237,,
,,5.13836,97.19232,4.50147,98.79887,,
,,5.14817,97.19268,4.50919,98.79937,,
,,5.15797,97.19305,4.51691,98.80287,,
,,5.16853,97.19356,4.52463,98.80187,,
,,5.17833,97.19396,4.53235,98.79837,,
,,5.18813,97.19437,4.54007,98.80037,,
,,5.19793,97.1948,4.54779,98.79787,,
,,5.20848,97.19537,4.55551,98.78987,,
,,5.21828,97.19582,4.56324,98.78787,,
,,5.22808,97.19629,4.57096,98.78537,,
,,5.23787,97.19677,4.57868,98.78337,,
,,5.24842,97.1974,4.5864,98.78487,,
,,5.25821,97.1979,4.59412,98.78887,,
,,5.26801,97.19841,4.60184,98.78287,,
